image_name,width,height,image_area,cls_id,xmin,xmax,ymin,ymax,object_area
134_20210910175837_24480_1215A0B0_16312678801,2048,1536,3145728,0,129.0,144.0,1059.0,1069.0,150.0
20210513174622169_0,2560,1440,3686400,3,2062.0,2121.0,528.0,570.0,2478.0
20210513174622169_0,2560,1440,3686400,2,1555.0,1744.0,389.0,596.0,39123.0
20210513174622169_0,2560,1440,3686400,1,1519.0,1595.0,376.0,447.0,5396.0
20210514080813988_0,1920,1080,2073600,3,327.0,388.0,845.0,885.0,2440.0
20210514080813988_0,1920,1080,2073600,0,408.0,423.0,732.0,741.0,135.0
20210514080813988_0,1920,1080,2073600,0,271.0,352.0,985.0,1022.0,2997.0
20210514080813988_0,1920,1080,2073600,0,1196.0,1226.0,522.0,534.0,360.0
20210514080813988_0,1920,1080,2073600,0,1351.0,1367.0,920.0,932.0,192.0
20210514123428815_0,1920,1080,2073600,3,1239.0,1287.0,372.0,397.0,1200.0
20210516080706443_0,1920,1080,2073600,5,1448.0,1659.0,619.0,717.0,20678.0
20210516080706443_0,1920,1080,2073600,5,1679.0,1735.0,632.0,675.0,2408.0
20210516080706443_0,1920,1080,2073600,5,1736.0,1780.0,650.0,706.0,2464.0
20210516080706443_0,1920,1080,2073600,2,1673.0,1736.0,660.0,733.0,4599.0
20210516080706443_0,1920,1080,2073600,2,1676.0,1737.0,566.0,647.0,4941.0
20210516080706443_0,1920,1080,2073600,0,392.0,404.0,479.0,486.0,84.0
20210516080706443_0,1920,1080,2073600,0,480.0,487.0,503.0,509.0,42.0
20210516080706443_0,1920,1080,2073600,0,554.0,559.0,525.0,530.0,25.0
20210516161002371_0,1920,1080,2073600,3,1100.0,1184.0,529.0,570.0,3444.0
20210517140018348_0,2560,1440,3686400,1,1813.0,1954.0,996.0,1171.0,24675.0
20210517161332410_0,1920,1080,2073600,3,1784.0,1867.0,1003.0,1039.0,2988.0
20210517161332410_0,1920,1080,2073600,6,1487.0,1920.0,708.0,842.0,58022.0
20210517161332410_0,1920,1080,2073600,5,1664.0,1814.0,635.0,735.0,15000.0
20210517161332410_0,1920,1080,2073600,2,1177.0,1307.0,307.0,372.0,8450.0
20210517161332410_0,1920,1080,2073600,2,1279.0,1371.0,254.0,325.0,6532.0
20210517161332410_0,1920,1080,2073600,4,1296.0,1367.0,311.0,350.0,2769.0
20210517161332410_0,1920,1080,2073600,2,1096.0,1189.0,385.0,432.0,4371.0
20210517161332410_0,1920,1080,2073600,2,1049.0,1140.0,447.0,504.0,5187.0
20210517161332410_0,1920,1080,2073600,2,1018.0,1066.0,456.0,500.0,2112.0
